ᐋ,U
ᐊᑭᓀᐁᐧᔨᐦᑕᒼ,UkIneweyIhtUm
ᐊᑭᓀᐁᐧᔨᒣᐤ,UkIneweyImew
ᐊᑭᓱᐤ,UkIsOw
ᐊᑯᒋᐦᒉᐢᑲᐁᐧᐤ,UkOtsIhtseskUwew
ᐊᑯᒋᑲᐣ,UkOtsIkUn
ᐊᑯᒋᑲᓀᔮᐱᕀ,UkOtsIkUneyUpIy
ᐊᑯᒋᑲᓂᐦᑳᓂᐢ,UkOtsIkUnIhkUnIs
ᐊᑯᒋᑲᓂᐢ,UkOtsIkUnIs
ᐊᑯᒋᑫᐤ,UkOtsIkew
ᐊᑯᒋᒧᐤ,UkOtsImOw
ᐊᑯᒋᐣ,UkOtsIn
ᐊᑯᒋᐹᐢᑭᓯᑲᓈᐦᑎᐠ,UkOtsIpUskIsIkUnUhtIk
ᐊᑯᒋᐹᐢᑭᓯᑲᓀᐤ,UkOtsIpUskIsIkUnew
ᐊᑯᒋᐸᔨᐤ,UkOtsIpUyIw
ᐊᑯᒋᐸᔨᐤ,UkOtsIpUyIw
ᐊᑯᒌᐢᑕᒼ,UkOtsistUm
ᐊᑯᒌᐢᑕᒪᐁᐧᐤ,UkOtsistUmUwew
ᐊᑯᒌᐢᑕᐁᐧᐤ,UkOtsistUwew
ᐊᑯᒌᐤ,UkOtsiw
ᐊᑯᒋᐁᐧᐱᓇᒼ,UkOtsIwepInUm
ᐊᑯᒋᐁᐧᐱᓀᐤ,UkOtsIwepInew
ᐋᑰᐦᐊᒼ,UkohUm
ᐊᑯᐦᒋᒣᐤ,UkOhtsImew
ᐊᑯᐦᒋᐣ,UkOhtsIn
ᐋᑰᐦᐃᑳᑫᐤ,UkohIkUkew
ᐊᑯᐦᑲᐦᑌᐤ,UkOhkUhtew
ᐊᑯᐦᑲᓴᒼ,UkOhkUsUm
ᐊᑯᐦᑲᓯᑫᐢᑭᐤ,UkOhkUsIkeskIw
ᐊᑯᐦᑲᓯᑫᐤ,UkOhkUsIkew
ᐊᑯᐦᑲᓱᐤ,UkOhkUsOw
ᐊᑯᐦᑲ,UkOhkUswew
ᐋᑯᐦᑫᐧᐦᐅᐣ,UkOhkwehOn
ᐋᑯᐦᑫᐧᐦᐱᒋᑲᓇ,UkOhkwehpItsIkUnU
ᐋᑯᐦᑫᐧᐦᐱᓱᐤ,UkOhkwehpIsOw
ᐋᑯᐦᑫᐧᐦᐱᑌᐤ,UkOhkwehpItew
ᐋᑯᐦᑫᐧᐦᐱᑎᓱᐤ,UkOhkwehpItIsOw
ᐋᑯᐦᑫᐧᓀᐤ,UkOhkwenew
ᐋᑯᐦᑫᐧᐤ,UkOhkwew
ᐋᑰᐦᐅᓱᐤ,UkohOsOw
ᐊᑯᐦᑊ,UkOhp
ᐊᑯᐦᐱᐦᑲᐁᐧᐤ,UkOhpIhkUwew
ᐊᑯᐦᐱᐦᑫᐤ,UkOhpIhkew
ᐊᑯᐦᐱᐢ,UkOhpIs
ᐊᑯᐦᐱᓱᐤ,UkOhpIsOw
ᐊᑯᐦᐱᓱᐋᐧᑲᐣ,UkOhpIsOwUkUn
ᐊᑯᐦᐱᓱᐃᐧᐣ,UkOhpIsOwIn
ᐊᑯᐦᑕᑖᐤ,UkOhtUtUw
ᐊᑯᐦᑌᐤ,UkOhtew
ᐊᑯᐦᑎᐣ,UkOhtIn
ᐊᑯᐦᑎᑖᐤ,UkOhtItUw
ᐋᑰᐦᐁᐧᐤ,Ukohwew
ᐊᑯᑳᐸᐃᐧᐤ,UkOkUpUwIw
ᐋᑯᑳᐸᐃᐧᐤ,UkOkUpUwIw
ᐊᑯᑳᐧᒋᑲᐣ,UkOkwUtsIkUn
ᐊᑯᑳᐧᒋᑲᓂᐢ,UkOkwUtsIkUnIs
ᐊᑯᑲᐧᐦᐊᒼ,UkOkwUhUm
ᐊᑯᑲᐧᐦᐁᐧᐤ,UkOkwUhwew
ᐊᑯᑳᐧᓱᐤ,UkOkwUsOw
ᐊᑯᑳᐧᑕᒼ,UkOkwUtUm
