ᐋ,U
ᑕᐦᒋᐱᑌᐤ,tUhtsIpItew
ᑖᐦᒋᐳᐦᐋᑲᐣ,tUhtsIpOhUkUn
ᑖᐦᒋᐳᐦᐁᐤ,tUhtsIpOhew
ᑖᐦᒋᐳᐦᐃᑲᐣ,tUhtsIpOhIkUn
ᑖᐦᒋᐳᐤ,tUhtsIpOw
ᑕᐦᒋᐁᐧᐸᐦᐊᒼ,tUhtsIwepUhUm
ᑕᐦᒋᐁᐧᐸᐦᐁᐧᐤ,tUhtsIwepUhwew
ᑕᐦᑲᒋᐤ,tUhkUtsIw
ᑕᐦᑲᐦᒋᑲᐣ,tUhkUhtsIkUn
ᑕᐦᑲᐦᒋᑫᐤ,tUhkUhtsIkew
ᑕᐦᑲᐦᑕᒼ,tUhkUhtUm
ᑕᐦᑳᑲᒥᐣ,tUhkUkUmIn
ᑕᐦᑳᑯᓇᑳᐤ,tUhkUkOnUkUw
ᑕᐦᑲᒣᐤ,tUhkUmew
ᑕᐦᑲᒥᓱᐤ,tUhkUmIsOw
ᑕᐦᑳᐹᐊᐧᐦᐁᐤ,tUhkUpUwUhew
ᑕᐦᑳᐹᐊᐧᑖᐤ,tUhkUpUwUtUw
ᑕᐦᑳᐱᐢᑳᐤ,tUhkUpIskUw
ᑕᐦᑳᐱᐢᑭᓯᐤ,tUhkUpIskIsIw
ᑕᐦᑲᐱᐤ,tUhkUpIw
ᑕᐦᑲᐢᒋᑲᐣ,tUhkUstsIkUn
ᑕᐦᑳᓯᐣ,tUhkUsIn
ᑕᐦᑳᓯᐤ,tUhkUsIw
ᑕᐦᑲᐢᑖᐤ,tUhkUstUw
ᑕᐦᑲᐢᑌᐤ,tUhkUstew
ᑕᐦᑲᑕᔦᐢᑳᒋᑲᐣ,tUhkUtUyeskUtsIkUn
ᑕᐦᑲᑕᔦᐢᑳᒋᑫᐤ,tUhkUtUyeskUtsIkew
ᑕᐦᑲᑎᐣ,tUhkUtIn
ᑕᐦᑳᐤ,tUhkUw
ᑕᐦᑳᔮᓯᐣ,tUhkUyUsIn
ᑕᐦᑳᔮᐤ,tUhkUyUw
ᑕᐦᑫᔨᐦᑕᒼ,tUhkeyIhtUm
ᑕᐦᑭ,tUhkI
ᑕᐦᑭ ᐊᔨᐋᐧᐠ,tUhkI UyIwUk
ᑕᐦᑭᒋᐦᒉᐤ,tUhkItsIhtsew
ᑕᐦᑭᑲᒫᐴᐦᑫᐤ,tUhkIkUmUpohkew
ᑕᐦᑭᑲᒫᐳᕀ,tUhkIkUmUpOy
ᑕᐦᑭᑲᒥᐣ,tUhkIkUmIn
ᑕᐦᑭᑲᒥᐤ,tUhkIkUmIw
ᑕᐦᑭᒪᐢᑖᐤ,tUhkImUstUw
ᑖᐦᑭᓇᒼ,tUhkInUm
ᑕᐦᑭᓀ,tUhkIne
ᑖᐦᑭᓀᐤ,tUhkInew
ᑕᐦᑭᐸᔨᐣ,tUhkIpUyIn
ᑕᐦᑭᐸᔨᐤ,tUhkIpUyIw
ᑕᐦᑭᐯᐢᑖᐤ,tUhkIpestUw
ᑕᐦᑭᐯᔮᐤ,tUhkIpeyUw
ᑕᐦᑭᓯᑌᐤ,tUhkIsItew
ᑕᐦᑭᓯᐤ,tUhkIsIw
ᑕᐦᑭᐢᑳᒋᑲᐣ,tUhkIskUtsIkUn
ᑕᐦᑭᐢᑳᒋᑫᐤ,tUhkIskUtsIkew
ᑕᐦᑭᐢᑲᒼ,tUhkIskUm
ᑕᐦᑭᐢᑳᑕᒼ,tUhkIskUtUm
ᑕᐦᑭᐢᑳᑌᐤ,tUhkIskUtew
ᑕᐦᑭᐢᑲᐁᐧᐤ,tUhkIskUwew
ᑕᐦᑭᐢᑭᑫᐤ,tUhkIskIkew
ᑕᐦᑭᐢᐱᐢᑲᐧᓀᐤ,tUhkIspIskwUnew
ᑕᐦᑭᐢᐱᐢᑲᐧᓀᐊᐧᒋᐤ,tUhkIspIskwUnewUtsIw
ᑕᐦᑭᐢᑎᑳᐧᓀᐤ,tUhkIstIkwUnew
ᑕᐦᑭᔭᐁᐧᐸᔨᐤ,tUhkIyUwepUyIw
ᑕᐦᑭᔪᐁᐧᐤ,tUhkIyOwew
ᑕᐦᑯᒋᐦᒉᐢᑲᐁᐧᐤ,tUhkOtsIhtseskUwew
ᑖᐦᑰᒋᑳᑌᐤ,tUhkotsIkUtew
ᑕᐦᑯᐦᐊᒼ,tUhkOhUm
ᑕᐦᑯᐦᐨ,tUhkOhts
ᑕᐦᑯᐦᒋᑳᐸᐃᐧᐤ,tUhkOhtsIkUpUwIw
ᑕᐦᑯᐦᒋᐸᔨᐦᐅᐤ,tUhkOhtsIpUyIhOw
ᑕᐦᑯᐦᒋᐸᔨᐤ,tUhkOhtsIpUyIw
ᑕᐦᑯᐦᒋᐱᒋᑫᐤ,tUhkOhtsIpItsIkew
ᑕᐦᑯᐦᒋᓯᐣ,tUhkOhtsIsIn
ᑕᐦᑯᐦᐟ,tUhkOht
ᑕᐦᑯᐦᑕᒋᐁᐧᐦᑕᐦᐁᐤ,tUhkOhtUtsIwehtUhew
ᑕᐦᑯᐦᑕᒋᐁᐧᐦᑕᑖᐤ,tUhkOhtUtsIwehtUtUw
ᑕᐦᑯᐦᑕᒋᐁᐧᐤ,tUhkOhtUtsIwew
ᑕᐦᑯᐦᑖᒪᑎᐣ,tUhkOhtUmUtIn
ᑕᐦᑯᐦᑕᐢᑖᐤ,tUhkOhtUstUw
ᑕᐦᑯᐦᑕᐢᑌᐤ,tUhkOhtUstew
ᑖᐦᑰᒣᐤ,tUhkomew
ᑕᐦᑯᓇᒼ,tUhkOnUm
ᑕᐦᑯᓇᒪᐁᐧᐤ,tUhkOnUmUwew
ᑕᐦᑯᓇᒨᐦᐁᐤ,tUhkOnUmohew
ᑕᐦᑯᓈᐊᐧᓱᐤ,tUhkOnUwUsOw
ᑕᐦᑯᓀᐤ,tUhkOnew
ᑕᐦᑯᓂᑲᐣ,tUhkOnIkUn
ᑕᐦᑯᓂᑳᑌᐤ,tUhkOnIkUtew
ᑕᐦᑯᓂᑫᐤ,tUhkOnIkew
ᑕᐦᑯᓂᑫᐃᐧᐣ,tUhkOnIkewIn
ᑕᐦᑯᐱᒐᒫᓂᐢ,tUhkOpItsUmUnIs
ᑕᐦᑯᐱᒋᑳᑫᐤ,tUhkOpItsIkUkew
ᑕᐦᑯᐱᒋᑲᐣ,tUhkOpItsIkUn
ᑕᐦᑯᐱᒋᑲᓀᔮᐱᕀ,tUhkOpItsIkUneyUpIy
ᑕᐦᑯᐱᒋᑳᑌᐤ,tUhkOpItsIkUtew
ᑕᐦᑯᐱᒋᑫᐸᔨᐣ,tUhkOpItsIkepUyIn
ᑕᐦᑯᐱᒋᑫᐸᔨᐤ,tUhkOpItsIkepUyIw
ᑕᐦᑯᐱᒋᑫᐤ,tUhkOpItsIkew
ᑕᐦᑯᐱᒋᑫᐃᐧᐣ,tUhkOpItsIkewIn
ᑕᐦᑯᐱᓱᐤ,tUhkOpIsOw
ᑕᐦᑯᐱᑕᒼ,tUhkOpItUm
ᑕᐦᑯᐱᑕᒫᐣ,tUhkOpItUmUn
ᑕᐦᑯᐱᑕᒪᐁᐧᐤ,tUhkOpItUmUwew
ᑕᐦᑯᐱᑕᐸᓱᓈᐦᑎᐠ,tUhkOpItUpUsOnUhtIk
ᑕᐦᑯᐱᑕᐸᓱᔮᓈᐦᑎᐠ,tUhkOpItUpUsOyUnUhtIk
ᑕᐦᑯᐱᑖᐊᐧᓱᐤ,tUhkOpItUwUsOw
ᑕᐦᑯᐱᑌᐤ,tUhkOpItew
ᑕᐦᑯᐱᑌᐤ,tUhkOpItew
ᑕᐦᑯᐱᑎᓱᐤ,tUhkOpItIsOw
ᑕᐦᑯᐢᑳᒋᑲᐣ,tUhkOskUtsIkUn
ᑕᐦᑯᐢᑳᒋᑫᐤ,tUhkOskUtsIkew
ᑕᐦᑯᐢᑲᒼ,tUhkOskUm
ᑕᐦᑯᐢᑳᑕᒼ,tUhkOskUtUm
ᑕᐦᑯᐢᑳᑌᐤ,tUhkOskUtew
ᑕᐦᑯᐢᑲᐁᐧᐤ,tUhkOskUwew
ᑕᐦᑯᐢᑫᐤ,tUhkOskew
ᑕᐦᑯᐢᑫᐃᐧᐣ,tUhkOskewIn
ᑖᐦᑰᑕᒼ,tUhkotUm
ᑕᐦᑲᐧᐦᒋᑫᒪᑲᐣ,tUhkwUhtsIkemUkUn
ᑕᐦᑲᐧᐦᒋᑫᐤ,tUhkwUhtsIkew
ᑕᐦᑲᐧᐦᑫᐢᑭᐤ,tUhkwUhkeskIw
ᑕᐦᑲᐧᐦᑫᐤ,tUhkwUhkew
ᑕᐦᑲᐧᐦᑕᒼ,tUhkwUhtUm
ᑕᐦᑲᐧᒫᒋᑲᐣ,tUhkwUmUtsIkUn
ᑕᐦᑲᐧᒣᐤ,tUhkwUmew
ᑕᐦᑳᐧᐢᑫᐧᐦᐱᑕᒼ,tUhkwUskwehpItUm
ᑕᐦᑳᐧᐢᑫᐧᐦᐱᑌᐤ,tUhkwUskwehpItew
ᑕᐦᐱᓯᒥᓇᐠ,tUhpIsImInUk
ᑕᐦᑕᐦᑭᐤ,tUhtUhkIw
ᑕᐦᑕᑯᓯᐤ,tUhtUkOsIw
ᑖᐦᑕᑯᐋᐧᐨ,tUhtUkOwUts
ᑕᐦᑕᑲᐧᐦᒑᐤ,tUhtUkwUhtsUw
ᑕᐦᑕᑳᐧᐤ,tUhtUkwUw
ᑖᐦᑖᓴᐦᐊᒼ,tUhtUsUhUm
ᑕᐦᑎᓇᒼ,tUhtInUm
ᑕᐦᑎᓀᐤ,tUhtInew
ᑕᐦᑎᓂᑲᐣ,tUhtInIkUn
ᑕᐦᑎᓂᑳᑌᐤ,tUhtInIkUtew
ᑕᐦᑐ,tUhtO
ᑕᐦᑐᒋᐦᒑᐣ,tUhtOtsIhtsUn
ᑕᐦᑐᓂᐢᐠ,tUhtOnIsk
ᑕᐦᑐᐱᐳᓀᐧᐤ,tUhtOpIpOnwew
ᑕᐦᑐᐢᑳᓀᓯᐊᐧᐠ,tUhtOskUnesIwUk
ᑕᐦᑐᑎᐱᐢᑫᐧᐤ,tUhtOtIpIskwew
ᑕᐦᑖᐧᓇᑭᓯᐊᐧᐠ,tUhtwUnUkIsIwUk
ᑕᐦᑖᐧᐸᒋᐦᑖᐃᐧᓀᐤ,tUhtwUpUtsIhtUwInew
ᑕᐦᑖᐧᐱᐢᐠ,tUhtwUpIsk
ᑕᐦᑖᐧᐤ,tUhtwUw
ᑕᐦᑕᐧᔭᐠ,tUhtwUyUk
ᑕᑰᑖᓂ,tUk ot UnI
ᑕᑲᐦᑳᒋᐊᐧᓭᐧᐤ,tUkUhkUtsIwUswew
ᑕᑲᐦᑲᐦᒋᑫᐤ,tUkUhkUhtsIkew
ᑕᑲᐦᑲᐦᐱᒋᑫᐤ,tUkUhkUhpItsIkew
ᑕᑲᐦᑳᐹᐁᐧᐤ,tUkUhkUpUwew
ᑕᑲᐦᑳᐯᐃᐧᐤ,tUkUhkUpewIw
ᑕᑲᐦᑲᐢᑎᒼ,tUkUhkUstIm
ᑕᑲᐦᑲᐢᑎᒣᐧᐤ,tUkUhkUstImwew
ᑕᑲᐦᑲᑖᒧᐤ,tUkUhkUtUmOw
ᑕᑲᐦᑲᑎᒼ,tUkUhkUtIm
ᑕᑲᐦᑫᔨᐦᑕᒼ,tUkUhkeyIhtUm
ᑕᑲᐦᑫᔨᐦᑕᒥᐦᐁᐤ,tUkUhkeyIhtUmIhew
ᑕᑲᐦᑫᔨᒣᐤ,tUkUhkeyImew
ᑕᑲᐦᑫᔨᒥᓱᐤ,tUkUhkeyImIsOw
ᑕᑲᐦᑫᔨᒧᐤ,tUkUhkeyImOw
ᑕᑲᐦᑫᔨᒧᐃᐧᐣ,tUkUhkeyImOwIn
ᑕᑲᐦᑭ,tUkUhkI
ᑕᑲᐦᑭᐦᑲᓴᒼ,tUkUhkIhkUsUm
ᑕᑲᐦᑭᐦᑲᓭᐧᐤ,tUkUhkIhkUswew
ᑕᑲᐦᑭᐦᑖᑯᓯᐤ,tUkUhkIhtUkOsIw
ᑕᑲᐦᑭᐦᑖᑲᐧᐣ,tUkUhkIhtUkwUn
ᑕᑲᐦᑭᐦᑕᐁᐧᐤ,tUkUhkIhtUwew
ᑕᑲᐦᑭᑭᐦᑖᐤ,tUkUhkIkIhtUw
ᑕᑲᐦᑭᒫᑯᓯᐤ,tUkUhkImUkOsIw
ᑕᑲᐦᑭᒫᑲᐧᐣ,tUkUhkImUkwUn
ᑕᑲᐦᑭᓈᑯᐦᑖᐤ,tUkUhkInUkOhtUw
ᑕᑲᐦᑭᓈᑯᓯᐤ,tUkUhkInUkOsIw
ᑕᑲᐦᑭᓈᑲᐧᐣ,tUkUhkInUkwUn
ᑕᑲᐦᑭᓇᐁᐧᐤ,tUkUhkInUwew
ᑕᑲᐦᑭᐸᐦᑖᐤ,tUkUhkIpUhtUw
ᑕᑲᐦᑭᐯᐦᐁᐤ,tUkUhkIpehew
ᑕᑲᐦᑭᐯᐤ,tUkUhkIpew
ᑕᑲᐦᑭᐱᒋᑫᐤ,tUkUhkIpItsIkew
ᑕᑲᐦᑭᓰᐦᐁᐤ,tUkUhkIsihew
ᑕᑲᐦᑭᓰᐦᐅᐤ,tUkUhkIsihOw
ᑕᑲᐦᑭᓰᐦᑖᐤ,tUkUhkIsihtUw
ᑕᑲᐦᑭᓯᐤ,tUkUhkIsIw
ᑕᑲᐦᑭᐢᐸᑯᓯᐤ,tUkUhkIspUkOsIw
ᑕᑲᐦᑭᐢᐸᑲᐧᐣ,tUkUhkIspUkwUn
ᑕᑲᐦᑫᐧᐁᐧᐦᑎᑖᐤ,tUkUhkwewehtItUw
ᑕᑲᐦᑫᐧᐁᐧᓯᐣ,tUkUhkwewesIn
ᑕᑯᐦᐋᐤ,tUkOhUw
ᑕᑯᐦᐁᐤ,tUkOhew
ᑕᑯᐦᑕᐦᐁᐤ,tUkOhtUhew
ᑕᑯᐦᑕᐦᐃᐁᐧᐤ,tUkOhtUhIwew
ᑕᑯᐦᑕᑕᒪᐁᐧᐤ,tUkOhtUtUmUwew
ᑕᑯᐦᑕᑖᐤ,tUkOhtUtUw
ᑕᑯᐦᑌᐤ,tUkOhtew
ᑕᑯᓇᒼ,tUkOnUm
ᑕᑯᓀᐤ,tUkOnew
ᑕᑯᓂᑳᑌᐤ,tUkOnIkUtew
ᑕᑯᐸᐦᑖᐤ,tUkOpUhtUw
ᑕᑯᐸᔨᐤ,tUkOpUyIw
ᑕᑯᐸᔨᐤ,tUkOpUyIw
ᑕᑯᐸᔨᐃᐧᐣ,tUkOpUyIwIn
ᑕᑯᐱᒋᑳᑌᐤ,tUkOpItsIkUtew
ᑕᑯᐱᒋᑫᐤ,tUkOpItsIkew
ᑕᑯᐱᒋᐤ,tUkOpItsIw
ᑕᑯᐱᐋᐤ,tUkOpIhUw
ᑕᑯᐱᑕᒼ,tUkOpItUm
ᑕᑯᐱᑌᐤ,tUkOpItew
ᑕᑯᐱᑌᐤ,tUkOpItew
ᑕᑯᐳᑖᐤ,tUkOpOtUw
ᑕᑯᓯᐣ,tUkOsIn
ᑕᑯᓯᓅᒪᑲᐣ,tUkOsInomUkUn
ᑕᑯᑖᐹᑕᒼ,tUkOtUpUtUm
ᑕᑯᑖᐹᑌᐤ,tUkOtUpUtew
ᑕᑯᑖᐯᐤ,tUkOtUpew
ᑕᑯᑌᐦᑕᐱᐤ,tUkOtehtUpIw
ᑕᑯᑎᓴᐦᐊᒼ,tUkOtIsUhUm
ᑕᑯᑎᓴᐦᐁᐧᐤ,tUkOtIsUhwew
ᑕᑯᐋᐧᐨ,tUkOwUts
ᑕᑲᐧᐦᐊᒼ,tUkwUhUm
ᑕᑲᐧᐦᐊᒪᐁᐧᐤ,tUkwUhUmUwew
ᑕᑲᐧᐦᐃᑲᐣ,tUkwUhIkUn
ᑕᑲᐧᐦᐃᑫᐤ,tUkwUhIkew
ᑕᑲᐧᐦᐃᑫᐃᐧᑲᒥᐠ,tUkwUhIkewIkUmIk
ᑕᑲᐧᐦᐃᑫᐃᐧᐣ,tUkwUhIkewIn
ᑕᑲᐧᐦᐃᒥᓈᐦᑎᐠ,tUkwUhImInUhtIk
ᑕᑲᐧᐦᐃᒥᓈᓇ,tUkwUhImInUnU
ᑕᑲᐧᐦᐃᒥᓈᓈᐦᑎᐠ,tUkwUhImInUnUhtIk
ᑕᑲᐧᐦᐃᒥᓀᐤ,tUkwUhImInew
ᑕᑳᐧᐦᑕᐄᐧᐤ,tUkwUhtUwiw
ᑕᑲᐧᐦᐁᐧᐤ,tUkwUhwew
ᑕᑳᐧᑭᑭ,tUkwUkIkI
ᑕᑳᐧᑭᐣ,tUkwUkIn
ᑕᑳᐧᑭᓯᑊ,tUkwUkIsIp
ᑕᑲᐧᑯᒋᐣ,tUkwUkOtsIn
ᑕᑳᐧᑯᕁ,tUkwUkOhk
ᑕᑲᐧᑯᑌᐤ,tUkwUkOtew
ᑕᑳᐧᒧᐤ,tUkwUmOw
ᑕᑲᐧᓈᐤ,tUkwUnUw
ᑕᑳᐧᐱᐢᑲᑕᐦᐊᒼ,tUkwUpIskUtUhUm
ᑕᑳᐧᐱᐢᑲᑕᐦᐁᐧᐤ,tUkwUpIskUtUhwew
ᑕᑳᐧᐴᔪᐤ,tUkwUpoyOw
ᑕᑳᐧᓯᐤ,tUkwUsIw
ᑕᑲᐧᐢᑖᐤ,tUkwUstUw
ᑕᑳᐧᐤ,tUkwUw
ᑕᑳᐧᐊᐧᐦᐃᑐᐊᐧᐠ,tUkwUwUhItOwUk
ᑖᐣ ᐋᓇ,tUn UnU
ᑖᓅᑖᓂ,tUn ot UnI
ᑖᓇ,tUnU
ᑖᓈ,tUnU
ᑖᓀ,tUne
ᑖᓀᐦᐋ,tUnehU
ᑖᓀᐦᑭ,tUnehkI
ᑖᓀᐦᑭ ᐊᓇ,tUnehkI UnU
ᑖᓂ,tUnI
ᑖᓂ,tUnI
ᑖᓂ,tUnI
ᑖᓂᐦᐃ,tUnIhI
ᑖᓂᐦᐃ,tUnIhI
ᑖᓂᑲ,tUnIkU
ᑖᓂᑭ,tUnIkI
ᑖᓂᒪ,tUnImU
ᑖᓂᒫ,tUnImU
ᑖᓂᒪ ᐁᐊᐧᑯ ᐊᐢᑭᕀ,tUnImU ewUkO UskIy
ᑖᓂᒪᑕᐦᑐ,tUnImUtUhtO
ᑖᓂᒪᑐᐋᐧᐦᑎᐠ,tUnImUtOwUhtIk
ᑖᓂᒪᑐᐃᐧᕁ,tUnImUtOwIhk
ᑖᓂᒪᔨᑯᕁ,tUnImUyIkOhk
ᑖᓂᒪᔨᑯᐦᑫᐢᑲᒥᐠ,tUnImUyIkOhkeskUmIk
ᑖᓂᒣᔨᐤ,tUnImeyIw
ᑖᓂᒥ,tUnImI
ᑖᓂᓯ,tUnIsI
ᑖᓂᓯ,tUnIsI
ᑖᓂᓯ ᐁᑲᐧ,tUnIsI ekwU
ᑖᓂᓯ ᐁᑎᑫᐧ,tUnIsI etIkwe
ᑖᓂᐢᐲ,tUnIspi
ᑖᓂᐢᐲ ᐅᐦᒋ,tUnIspi OhtsI
ᑖᓂᐢᐲᕁ,tUnIspihk
ᑖᓂᑕ,tUnItU
ᑖᓂᑕ ᐅᐦᒋ,tUnItU OhtsI
ᑖᓂᑕᐦᑐ,tUnItUhtO
ᑖᓂᑕᐦᑐ ᐊᐢᑭᕀ,tUnItUhtO UskIy
ᑖᓂᑕᐦᑐ ᑮᓯᑳᐤ,tUnItUhtO kisIkUw
ᑖᓂᑕᐦᑐ,tUnItUhtO nipIn
ᑖᓂᑕᐦᑐ ᐲᓯᒼ,tUnItUhtO pisIm
ᑖᓂᑕᐦᑐ ᑎᐸᐦᐃᑲᐣ,tUnItUhtO tIpUhIkUn
ᑖᓂᑕᐦᑐ ᑎᐱᐢᑳᐤ,tUnItUhtO tIpIskUw
ᑖᓂᑕᐦᑐᐱᐳᓀᐤ,tUnItUhtOpIpOnew
ᑖᓂᑕᐦᑕᐧᓯᔦᐠ,tUnItUhtwUsIyek
ᑖᓂᑕᐦᑖᐧᐤ,tUnItUhtwUw
ᑖᓂᑕᐦᑕᐧᔭᐠ,tUnItUhtwUyUk
ᑖᓂᑌ,tUnIte
ᑖᓂᑌ ᐁᑎᑫᐧ,tUnIte etIkwe
ᑖᓂᑐᐊᐧᕁ,tUnItOwUhk
ᑖᓂᑐᐃᐧᕁ,tUnItOwIhk
ᑖᓂᐋᐧ,tUnIwU
ᑖᓂᐋᐧ ᐁᑎᑫᐧ,tUnIwU etIkwe
ᑖᓂᐋᐧᑐᑫ,tUnIwUtOke
ᑖᓂᐁᐧ,tUnIwe
ᑖᓂᐁᐧᐦᐋ,tUnIwehU
ᑖᓂᐁᐧᐦᐋ,tUnIwehU
ᑖᓂᐁᐧᐦᐁ,tUnIwehe
ᑖᓂᐁᐧᐦᑳᐠ,tUnIwehkUk
ᑖᓂᔨᑯ,tUnIyIkO
ᑖᓂᔨᑯᕁ,tUnIyIkOhk
ᑕᐸᐦᒋᐸᔨᐦᐅᐤ,tUpUhtsIpUyIhOw
ᑖᐹᐦᑰᒣᐤ,tUpUhkomew
ᑕᐸᐦᑕᑯᒋᐣ,tUpUhtUkOtsIn
ᑕᐸᐦᑕᑯᑖᐤ,tUpUhtUkOtUw
ᑕᐸᐦᑕᑯᑌᐤ,tUpUhtUkOtew
ᑕᐸᐦᑕᑯᑌᐤ,tUpUhtUkOtew
ᑕᐸᐦᑌᔨᐦᑕᒼ,tUpUhteyIhtUm
ᑕᐸᐦᑌᔨᒣᐤ,tUpUhteyImew
ᑕᐸᐦᑌᔨᒥᓱᐤ,tUpUhteyImIsOw
ᑕᐸᐦᑌᔨᒥᓱᐃᐧᐣ,tUpUhteyImIsOwIn
ᑕᐸᐦᑌᔨᒧᐦᐁᐤ,tUpUhteyImOhew
ᑕᐸᐦᑌᔨᒧᐤ,tUpUhteyImOw
ᑕᐸᐦᑎᐢᑫᐧᑳᐸᐃᐧᐤ,tUpUhtIskwekUpUwIw
ᑕᐸᐦᑎᐢᑫᐧᓯᐣ,tUpUhtIskwesIn
ᑕᐸᐦᑎᐢᑫᐧᔨᐤ,tUpUhtIskweyIw
ᑖᐸᑲᐧᒪᐁᐧᐤ,tUpUkwUmUwew
ᑖᐸᑳᐧᐣ,tUpUkwUn
ᑖᐸᑳᐧᓀᔮᐱᕀ,tUpUkwUneyUpIy
ᑖᐸᑳᐧᓂᐦᑫᐤ,tUpUkwUnIhkew
ᑖᐸᑳᐧᓱᐤ,tUpUkwUsOw
ᑖᐸᑳᐧᑕᒼ,tUpUkwUtUm
ᑖᐸᑳᐧᑌᐤ,tUpUkwUtew
ᑖᐸᑫᐧᐢᑕᒪᐁᐧᐤ,tUpUkwestUmUwew
ᑖᐸᑫᐧᐤ,tUpUkwew
ᑖᐸᑫᐧᐁᐧᐱᓂᑲᐣ,tUpUkwewepInIkUn
ᑖᐹᓇᐦᐊᒼ,tUpUnUhUm
ᑖᐹᓇᐦᐃᑫᐤ,tUpUnUhIkew
ᑖᐹᓇᐦᐁᐧᐤ,tUpUnUhwew
ᑖᐹᐯᑭᓇᒼ,tUpUpekInUm
ᑖᐹᐯᑭᓀᐤ,tUpUpekInew
ᑖᐸᐲᐢᑕᒼ,tUpUpistUm
ᑖᐸᐲᐢᑕᒪᐁᐧᐤ,tUpUpistUmUwew
ᑕᐸᓰᐦᐁᐤ,tUpUsihew
ᑕᐸᓰᐦᑖᐤ,tUpUsihtUw
ᑖᐸᓯᓇᐦᐃᑲᐣ,tUpUsInUhIkUn
ᑖᐸᓯᓇᐦᐃᑫᐸᔨᐦᒋᑲᐣ,tUpUsInUhIkepUyIhtsIkUn
ᑖᐸᓯᓇᐦᐃᑫᐸᔨᐦᑖᐤ,tUpUsInUhIkepUyIhtUw
ᑖᐸᓯᓇᐦᐃᑫᐤ,tUpUsInUhIkew
ᑕᐸᓰᐢᑕᒼ,tUpUsistUm
ᑕᐸᓰᐢᑕᐁᐧᐤ,tUpUsistUwew
ᑕᐸᓰᐤ,tUpUsiw
ᑕᐸᓰᐃᐧᐣ,tUpUsiwIn
ᑖᐹᐢᑫᐧᐤ,tUpUskwew
ᑖᐸᐢᑖᐤ,tUpUstUw
ᑖᐹᑐᑕᒼ,tUpUtOtUm
ᑖᐱᐨ,tUpIts
ᑖᐱᐦᐁᐤ,tUpIhew
ᑖᐱᐦᑌᐱᓱᐣ,tUpIhtepIsOn
ᑖᐱᐦᑌᐱᓱᓈᐱᐢᐠ,tUpIhtepIsOnUpIsk
ᑖᐱᐦᑌᐱᓱᐤ,tUpIhtepIsOw
ᑖᐱᐦᑎᐣ,tUpIhtIn
ᑖᐱᐦᑎᑖᐤ,tUpIhtItUw
ᑖᐱᑲ,tUpIkU
ᑖᐱᑲ,tUpIkU nIsI
ᑖᐱᑲᐧᑎᓱᐤ,tUpIkwUtIsOw
ᑖᐱᐸᔨᐤ,tUpIpUyIw
ᑖᐱᐱᐤ,tUpIpIw
ᑖᐱᓴᐦᐊᒼ,tUpIsUhUm
ᑖᐱᓴᐦᐊᒪᐁᐧᐤ,tUpIsUhUmUwew
ᑖᐱᓴᐦᐊᒧᐤ,tUpIsUhUmOw
ᑖᐱᓴᐦᐁᐧᐤ,tUpIsUhwew
ᑖᐱᓯᑯᓇᒼ,tUpIsIkOnUm
ᑖᐱᓯᑯᐸᔨᐤ,tUpIsIkOpUyIw
ᑖᐱᓯᑯᐢᑲᒼ,tUpIsIkOskUm
ᑖᐱᓯᒣᐤ,tUpIsImew
ᑖᐱᓯᒥᓀᐤ,tUpIsImInew
ᑖᐱᓯᐣ,tUpIsIn
ᑖᐱᓯᑌᐱᓱᐣ,tUpIsItepIsOn
ᑖᐱᐢᑲᐦᐁᐤ,tUpIskUhew
ᑖᐱᐢᑳᑲᐣ,tUpIskUkUn
ᑖᐱᐢᑳᑲᐣ,tUpIskUkUn
ᑖᐱᐢᑳᑲᓈᐦᑎᐠ,tUpIskUkUnUhtIk
ᑖᐱᐢᑳᑲᓀᑭᐣ,tUpIskUkUnekIn
ᑖᐱᐢᑳᑲᓀᒥᐣ,tUpIskUkUnemIn
ᑖᐱᐢᑳᑲᓀᓰᐢ,tUpIskUkUnesis
ᑖᐱᐢᑳᑲᓂᐦᑫᐤ,tUpIskUkUnIhkew
ᑖᐱᐢᑳᑲᓂᐢ,tUpIskUkUnIs
ᑖᐱᐢᑲᒼ,tUpIskUm
ᑖᐱᐢᑲᐁᐧᐤ,tUpIskUwew
ᑖᐱᐢᑰᐨ,tUpIskots
ᑖᐱᐢᑯᐸᔨᐤ,tUpIskOpUyIw
ᑖᐱᐢᑯᐱᓱᐤ,tUpIskOpIsOw
ᑖᐱᐢᑯᐢᑳᒋᑲᐣ,tUpIskOskUtsIkUn
ᑖᐱᐢᑰᐟ,tUpIskot
ᑖᐱᐢᑰᑕᐢᑖᐤ,tUpIskotUstUw
ᑖᐱᐢᑫᐧᑲᓀᑭᐣ,tUpIskwekUnekIn
ᑖᐱᑕᐤ,tUpItUw
ᑖᐱᑕᐋᐧᑯᓇᑳᐤ,tUpItUwUkOnUkUw
ᑖᐱᑕᐋᐧᐤ,tUpItUwUw
ᑖᐱᑕᐃᐧ,tUpItUwI
ᑖᐱᑕᐃᐧᐦᑖᐤ,tUpItUwIhtUw
ᑖᐱᑐᓀᐦᐱᒋᑲᐣ,tUpItOnehpItsIkUn
ᑖᐱᑐᓀᐦᐱᒋᑲᓈᐱᐢᐠ,tUpItOnehpItsIkUnUpIsk
