ཧ་ཅང་བཟང་།,ha txaq zaq
འཚར་བ།,tshaR wa
ལམ་སྟོན་བྱེད་པ།,lam Ton djE pa
ཡོད་པ།,yo pa
ཐོས་པ།,coe pa
རོགས་པ་བྱེད་པ།,rog pa djE pa
བཟུང་བ།,zuq wa
ཁྱི་ར་བརྒྱག་པ།,khi ra gyag pa
ཚོད་དཔག་བྱེད་པ།,tshoe pag djE pa
ཁོངས་སུ་འཚུད་པ།,khoq su tsu pa
འདུས་གྲུབ་བྱེད་པ།,Cu dub djE pa
འདུན་པ་བྱེད་པ།,Cun pa djE pa
གོ་དོན་འགྲེལ་བ།,go Con dEl wa
ངོ་སྤྲོད་བྱེད་པ།,qo toe djE pa
འཚུད་པ།,tsu pa
ཚོགས་ཞུགས་བྱེད་པ།,tso jug djE pa
མཆོང་བ།,txhoq wa
ཉར་བ།,nyaR wa
ཤེས་པ།,xE pa
གད་མོ།,ge mo
down,སྙལ་བ།,Nyel wa
འགོ་ཁྲིད་པ།,go thi pa
སྦྱོང་བ།,djoq wa
ཐོན་པ།,con pa
འདེགས་པ།,Ceg pa
སྣང་བ་འགྲོ་བ།,Naq wa do wa
ཉན་པ།,nyen pa
སྡོད་པ།,Co pa
ལྟ་བ།,Ta wa
དགའ་པོ་བྱེད་པ།,ga po djE pa
རྒྱུན་མཐུད་པ།,gyun cu pa
བཟོ་བ།,zo wa
སྟངས་འཛིན་བྱེད་པ།,Taq dzin djE pa
ཞིབ་འཆར་འགོད་པ།,jib xER goe pa
ཕུལ་བྱུང་།,phul djuq
ཚད་འཇལ་བ།,tshe djal wa
སེམས་གཏོད་པ།,sEm Toe pa
འདྲ་གཟུགས་བཟོ་བ།,da zug zo wa
གཡོ་སྒུལ།,yO gul
སྒྱུར་བ།,gyuR wa
ཁ་ལོ་སྒྱུར་བ།,kha lo gyuR wa
དགོས་པ།,goe pa
དགག་པ་རྒྱག་པ།,gag pa gyag pa
notice,ཐོ་རྒྱག་པ།,co gyag pa
གྲུ་སུག་རྒྱག་པ།,du sug gyag pa
གོ་སྒྲིག་བྱེད་པ།,go dig djE pa
དབང་དུ་སྡུད་པ།,waq Cu Cue pa
མཉམ་ཞུགས་བྱེད་པ།,nyam jug djE pa
འགུལ་སྐྱོད་བྱེད་པ།,gul kyoe djE pa
འཐོར་བ།,coR wa
བླུག་པ།,lUg pa
སྨོན་ལ་རྒྱག་པ།,mMon lam gyag pa
ཁུངས་སྐྱེལ་བ།,khuq kyEl wa
འབུད་རྒྱག་གཏོང་བ།,bu gyag Toq wa
སྙོབ་པ།,Nyob pa
ཀློག་པ།,log pa
འབྱོར་བ།,djoR wa
ཉུང་དུ་གཏོང་བ།,nyuq Cu Toq wa
གློད་པ།,loe pa
