𒀊𒌋,abu
𒁺𒁍,gubbu
𒄢𒈜𒌋,gullubu
𒄬𒌒𒁍,haluppu
𒄩𒉏𒌍𒌋,hanumexu
𒄯𒁍,harbu
𒄊𒍞𒉡,irginu
𒆏𒊒,kabru
𒃶𒋗,kanxu
𒄒𒊒,kibru
𒆤𒊒,kitru
𒋻𒅎𒈬,kudimmu
𒆪𒀪𒌅,ku'intu
𒂷,mala
𒈲𒊌𒃶𒉡,musukkannu
𒈹,muxku
𒅘𒆏𒌋,nakkapu
𒅘𒊒,nakru
𒈜𒆏𒌅,narkabtu
𒆳𒈾𒉿,natanaya
𒊩𒌨𒃲𒇻,niggallu
𒄷𒉡,paKnu
𒃼𒄷,Karhu
𒄥𒁍,Kurbu
𒊐𒁍,rappu
𒊩𒆕𒌋,raKKaKu
𒈩𒁍,ridpu
𒆳𒃮,sadirtu
𒆤𒇷𒌋,sahliu
𒉺𒅁𒅈𒊒,saparru
𒊬𒊒,sarru
𒌍𒉡𒌅,sinnutu
𒋳𒇻,taklu
𒊑𒋃𒌅,tallaktu
𒊑𒇻,tallu
𒋻𒄣𒀭𒉡,targumannu
𒁳𒀠,tebal
𒌇𒆪,tukku
𒄽𒅎𒈬,tunimmu
𒌌𒈬,ulmu
𒀀𒂔𒇲𒊒,ummuru
𒌝𒊬𒄷,umxarhu
𒂟𒇻,zablu
𒍠𒁍,zaKpu
𒍪𒀫𒄴𒄷,zunzurahhu
𒆹𒁺𒌋,zuKKupu
𒊕𒇻,xaklu
𒉺𒅁𒊒,xapru
𒊬𒁍,xarpu
𒋀𒀀𒂔𒇲,xasummu
𒊺𒀪,xe'u
𒋃𒊒,xiTru
𒈽𒅈𒊒𒊒,xuharruru
𒉻𒈜,xuklulu
𒇡𒌍,Xarbatu
𒋛𒀀𒆗𒌋,Terrubu
𒀜𒁹𒌤𒌋,adammumu
𒀭𒅘𒌋,annaku
𒀊𒇻,aplu
𒁁𒉡,bennu
𒆗𒌅,dannutu
𒂗𒍪,enzu
𒅕𒆗𒇻,erkallu
𒅕𒋗,erxu
𒄑𒁍,eXpu
𒃮𒁲,gabdi
𒄫𒁺,gerdu
𒄃𒁺,gildu
𒄥𒊒𒌅,gurrutu
𒄩𒁹𒊒,hamru
𒄯𒄷𒃶𒉡,harbakkannu
𒉺𒉡,hatanu
𒄒𒌅,kibtu
𒁶𒌅,kimtu
𒆠𒆸𒂁,kiKillutu
𒆧𒆳𒄿,kixxati
𒆳𒅁𒌅,kuribtu
𒌋𒌋𒌋𒌋,mamman
𒈲𒃰𒋺𒋛𒌅,musakkiltu
𒊩𒌨𒋢,niksu
𒉻𒌅,pattu
𒌓𒋢,pirsu
𒌑𒄷,samhu
𒆠𒆗𒅔𒉡,sasinnu
𒋝𒈩𒌋,sekretu
𒋝𒃰𒌋,sikkatu
𒆹𒌌,sugullu
𒋰𒊑𒌋,tabriu
𒊑𒂍𒌅,talpittu
𒋻𒁹𒈬,tarammu
𒌵𒌅,tillatu
𒌒𒇧𒌋,ubbulu
𒌨𒆧,urkix
𒍑𒀠𒇻,uxallu
𒌓𒋺𒌋,uTTatu
𒇡𒁍,zarpu
𒍦𒇻,ziblu
𒆳𒁺,xaddu
𒉺𒅁𒅈𒌅,xapartu
𒈨𒋗,xibxu
𒊿𒌋𒌋𒌅,xinnixtu
𒌜,xeedu
𒋚𒆟𒌅,Xehhertu
𒍮𒉺𒌅,Xuhattu
𒍮𒄯𒌅,Xuhurtu
𒄠𒌨𒊒,amurru
𒀝𒊒,aKru
𒀸𒊒,axru
𒁀𒀪𒇻,ba'lu
𒇹,erbe
𒅕𒁍,erpu
𒄑𒍪,ezzu
𒅅𒆸𒇻,ikkillu
𒅎𒁇𒌋,imbaru
𒀉𒋾,itti
𒀉𒌅,ittu
𒆏𒌅,kabtu
𒁉𒁺,kaxdu
𒆗,lamassu
𒆳𒄷,mathu
𒈪𒆤𒌅,miKittu
